"PinId","XWingId","FuncId","NetId","Connections"
"I02","PP00_WING_A05","PP00_ET_FACE_CKOM","N14","PP10_WT_FACE_CKIS"
"I01","PP00_WING_A06","PP00_ET_FACE_LCKI","N241","LED2 PP10_WT_FACE_LCKO"
"I00","PP00_WING_A07","PP00_ET_FACE_LCKO","N240","LED1 PP10_WT_FACE_LCKI"
"I06","PP00_WING_A01","PP00_SE_FACE_CKIS","N19","PP11_NW_FACE_CKOM"
"I04","PP00_WING_A03","PP00_SE_FACE_DATI","N18","PP11_NW_FACE_DATO"
"I03","PP00_WING_A04","PP00_SE_FACE_DATO","N16","PP11_NW_FACE_DATI"
"I07","PP00_WING_A00","PP00_SE_FACE_LCKI","N251","LED12 PP11_NW_FACE_LCKO"
"I05","PP00_WING_A02","PP00_SE_FACE_LCKO","N244","LED5 PP11_NW_FACE_LCKI"
"I0F","PP01_WING_A08","PP01_ET_FACE_DATI","N11","PP11_WT_FACE_DATO"
"I0E","PP01_WING_A09","PP01_ET_FACE_DATO","N13","PP11_WT_FACE_DATI"
"I0B","PP01_WING_A12","PP01_NE_FACE_CKIS","N214","PP10_SW_FACE_CKOM"
"I08","PP01_WING_A15","PP01_NE_FACE_DATI","N213","PP10_SW_FACE_DATO"
"I09","PP01_WING_A14","PP01_NE_FACE_DATO","N211","PP10_SW_FACE_DATI"
"I0A","PP01_WING_A13","PP01_NE_FACE_LCKI","N245","LED6 PP10_SW_FACE_LCKO"
"I0C","PP01_WING_A11","PP01_NE_FACE_LCKO","N250","LED11 PP10_SW_FACE_LCKI"
"I32","PP10_WING_A05","PP10_ET_FACE_CKOM","N224","PP20_WT_FACE_CKIS"
"I31","PP10_WING_A06","PP10_ET_FACE_LCKI","N243","LED4 PP20_WT_FACE_LCKO"
"I30","PP10_WING_A07","PP10_ET_FACE_LCKO","N242","LED3 PP20_WT_FACE_LCKI"
"I36","PP10_WING_A01","PP10_SE_FACE_CKIS","N229","PP21_NW_FACE_CKOM"
"I34","PP10_WING_A03","PP10_SE_FACE_DATI","N228","PP21_NW_FACE_DATO"
"I33","PP10_WING_A04","PP10_SE_FACE_DATO","N226","PP21_NW_FACE_DATI"
"I37","PP10_WING_A00","PP10_SE_FACE_LCKI","N254","LED15 PP21_NW_FACE_LCKO"
"I35","PP10_WING_A02","PP10_SE_FACE_LCKO","N247","LED8 PP21_NW_FACE_LCKI"
"I26","PP10_WING_B14","PP10_ST_FACE_CKIS","N219","PP11_NT_FACE_CKOM"
"I22","PP10_WING_B10","PP10_ST_FACE_DATI","N218","PP11_NT_FACE_DATO"
"I23","PP10_WING_B11","PP10_ST_FACE_DATO","N216","PP11_NT_FACE_DATI"
"I24","PP10_WING_B12","PP10_ST_FACE_LCKI","N252","LED13 PP11_NT_FACE_LCKO"
