"Pin1Id","Pin2Id","LEDId","Purpose"
"I00","I10","LED1","PP00_ET_FACE_LCKO <=> PP10_WT_FACE_LCKI"
"I01","I11","LED2","PP00_ET_FACE_LCKI <=> PP10_WT_FACE_LCKO"
"I02","I12","/","PP00_ET_FACE_CKOM <=> PP10_WT_FACE_CKIS"
"I03","I1C","/","PP00_SE_FACE_DATO <=> PP11_NW_FACE_DATI"
"I04","I1B","/","PP00_SE_FACE_DATI <=> PP11_NW_FACE_DATO"
"I05","I1A","LED5","PP00_SE_FACE_LCKO <=> PP11_NW_FACE_LCKI"
"I06","I19","/","PP00_SE_FACE_CKIS <=> PP11_NW_FACE_CKOM"
"I07","I18","LED12","PP00_SE_FACE_LCKI <=> PP11_NW_FACE_LCKO"
"I08","I17","/","PP01_NE_FACE_DATI <=> PP10_SW_FACE_DATO"
"I09","I16","/","PP01_NE_FACE_DATO <=> PP10_SW_FACE_DATI"
"I0A","I15","LED6","PP01_NE_FACE_LCKI <=> PP10_SW_FACE_LCKO"
"I0B","I14","/","PP01_NE_FACE_CKIS <=> PP10_SW_FACE_CKOM"
"I0C","I13","LED11","PP01_NE_FACE_LCKO <=> PP10_SW_FACE_LCKI"
"I0D","/","/","unconnected"
"I0E","I1E","/","PP01_ET_FACE_DATO <=> PP11_WT_FACE_DATI"
"I0F","I1F","/","PP01_ET_FACE_DATI <=> PP11_WT_FACE_DATO"
"I10","I00","LED1","PP10_WT_FACE_LCKI <=> PP00_ET_FACE_LCKO"
"I11","I01","LED2","PP10_WT_FACE_LCKO <=> PP00_ET_FACE_LCKI"
"I12","I02","/","PP10_WT_FACE_CKIS <=> PP00_ET_FACE_CKOM"
"I13","I0C","LED11","PP10_SW_FACE_LCKI <=> PP01_NE_FACE_LCKO"
"I14","I0B","/","PP10_SW_FACE_CKOM <=> PP01_NE_FACE_CKIS"
"I15","I0A","LED6","PP10_SW_FACE_LCKO <=> PP01_NE_FACE_LCKI"
"I16","I09","/","PP10_SW_FACE_DATI <=> PP01_NE_FACE_DATO"
"I17","I08","/","PP10_SW_FACE_DATO <=> PP01_NE_FACE_DATI"
"I18","I07","LED12","PP11_NW_FACE_LCKO <=> PP00_SE_FACE_LCKI"
"I19","I06","/","PP11_NW_FACE_CKOM <=> PP00_SE_FACE_CKIS"
"I1A","I05","LED5","PP11_NW_FACE_LCKI <=> PP00_SE_FACE_LCKO"
"I1B","I04","/","PP11_NW_FACE_DATO <=> PP00_SE_FACE_DATI"
"I1C","I03","/","PP11_NW_FACE_DATI <=> PP00_SE_FACE_DATO"
"I1D","/","/","unconnected"
"I1E","I0E","/","PP11_WT_FACE_DATI <=> PP01_ET_FACE_DATO"
"I1F","I0F","/","PP11_WT_FACE_DATO <=> PP01_ET_FACE_DATI"
"I20","/","/","unconnected"
"I21","/","/","unconnected"
"I22","I2C","/","PP10_ST_FACE_DATI <=> PP11_NT_FACE_DATO"
"I23","I2B","/","PP10_ST_FACE_DATO <=> PP11_NT_FACE_DATI"
"I24","I2A","LED13","PP10_ST_FACE_LCKI <=> PP11_NT_FACE_LCKO"
"I25","I29","LED7","PP10_ST_FACE_LCKO <=> PP11_NT_FACE_LCKI"
"I26","I28","/","PP10_ST_FACE_CKIS <=> PP11_NT_FACE_CKOM"
"I27","/","/","unconnected"
"I28","I26","/","PP11_NT_FACE_CKOM <=> PP10_ST_FACE_CKIS"
"I29","I25","LED7","PP11_NT_FACE_LCKI <=> PP10_ST_FACE_LCKO"
"I2A","I24","LED13","PP11_NT_FACE_LCKO <=> PP10_ST_FACE_LCKI"
"I2B","I23","/","PP11_NT_FACE_DATI <=> PP10_ST_FACE_DATO"
"I2C","I22","/","PP11_NT_FACE_DATO <=> PP10_ST_FACE_DATI"
"I2D","/","/","unconnected"
"I2E","/","/","unconnected"
"I2F","/","/","unconnected"
"I30","I40","LED3","PP10_ET_FACE_LCKO <=> PP20_WT_FACE_LCKI"
"I31","I41","LED4","PP10_ET_FACE_LCKI <=> PP20_WT_FACE_LCKO"
"I32","I42","/","PP10_ET_FACE_CKOM <=> PP20_WT_FACE_CKIS"
"I33","I4C","/","PP10_SE_FACE_DATO <=> PP21_NW_FACE_DATI"
"I34","I4B","/","PP10_SE_FACE_DATI <=> PP21_NW_FACE_DATO"
"I35","I4A","LED8","PP10_SE_FACE_LCKO <=> PP21_NW_FACE_LCKI"
"I36","I49","/","PP10_SE_FACE_CKIS <=> PP21_NW_FACE_CKOM"
"I37","I48","LED15","PP10_SE_FACE_LCKI <=> PP21_NW_FACE_LCKO"
"I38","I47","/","PP11_NE_FACE_DATI <=> PP20_SW_FACE_DATO"
"I39","I46","/","PP11_NE_FACE_DATO <=> PP20_SW_FACE_DATI"
"I3A","I45","LED9","PP11_NE_FACE_LCKI <=> PP20_SW_FACE_LCKO"
"I3B","I44","/","PP11_NE_FACE_CKIS <=> PP20_SW_FACE_CKOM"
"I3C","I43","LED14","PP11_NE_FACE_LCKO <=> PP20_SW_FACE_LCKI"
"I3D","/","/","unconnected"
"I3E","I4E","/","PP11_ET_FACE_DATO <=> PP21_WT_FACE_DATI"
"I3F","I4F","/","PP11_ET_FACE_DATI <=> PP21_WT_FACE_DATO"
"I40","I30","LED3","PP20_WT_FACE_LCKI <=> PP10_ET_FACE_LCKO"
"I41","I31","LED4","PP20_WT_FACE_LCKO <=> PP10_ET_FACE_LCKI"
"I42","I32","/","PP20_WT_FACE_CKIS <=> PP10_ET_FACE_CKOM"
"I43","I3C","LED14","PP20_SW_FACE_LCKI <=> PP11_NE_FACE_LCKO"
"I44","I3B","/","PP20_SW_FACE_CKOM <=> PP11_NE_FACE_CKIS"
"I45","I3A","LED9","PP20_SW_FACE_LCKO <=> PP11_NE_FACE_LCKI"
"I46","I39","/","PP20_SW_FACE_DATI <=> PP11_NE_FACE_DATO"
"I47","I38","/","PP20_SW_FACE_DATO <=> PP11_NE_FACE_DATI"
"I48","I37","LED15","PP21_NW_FACE_LCKO <=> PP10_SE_FACE_LCKI"
"I49","I36","/","PP21_NW_FACE_CKOM <=> PP10_SE_FACE_CKIS"
"I4A","I35","LED8","PP21_NW_FACE_LCKI <=> PP10_SE_FACE_LCKO"
"I4B","I34","/","PP21_NW_FACE_DATO <=> PP10_SE_FACE_DATI"
"I4C","I33","/","PP21_NW_FACE_DATI <=> PP10_SE_FACE_DATO"
"I4D","/","/","unconnected"
"I4E","I3E","/","PP21_WT_FACE_DATI <=> PP11_ET_FACE_DATO"
"I4F","I3F","/","PP21_WT_FACE_DATO <=> PP11_ET_FACE_DATI"
"I50","/","/","unconnected"
"I51","/","/","unconnected"
"I52","I5C","/","PP20_ST_FACE_DATI <=> PP21_NT_FACE_DATO"
"I53","I5B","/","PP20_ST_FACE_DATO <=> PP21_NT_FACE_DATI"
"I54","I5A","LED16","PP20_ST_FACE_LCKI <=> PP21_NT_FACE_LCKO"
"I55","I59","LED10","PP20_ST_FACE_LCKO <=> PP21_NT_FACE_LCKI"
"I56","I58","/","PP20_ST_FACE_CKIS <=> PP21_NT_FACE_CKOM"
"I57","/","/","unconnected"
"I58","I56","/","PP21_NT_FACE_CKOM <=> PP20_ST_FACE_CKIS"
"I59","I55","LED10","PP21_NT_FACE_LCKI <=> PP20_ST_FACE_LCKO"
"I5A","I54","LED16","PP21_NT_FACE_LCKO <=> PP20_ST_FACE_LCKI"
"I5B","I53","/","PP21_NT_FACE_DATI <=> PP20_ST_FACE_DATO"
"I5C","I52","/","PP21_NT_FACE_DATO <=> PP20_ST_FACE_DATI"
"I5D","/","/","unconnected"
"I5E","/","/","unconnected"
"I5F","/","/","unconnected"
